Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,City
750678428,A,Normal,Male,Health and beauty,74.69,7,26.141499999999997,548.9714999999999,2019-01-05,13:08,Ewallet,9.1,Yangon
226313081,C,Normal,Male,Electronic accessories,15.28,5,3.82,80.21999999999998,2019-03-08,10:29,Cash,9.6,Naypyitaw
631413108,A,Normal,Male,Home and lifestyle,46.33,7,16.215500000000002,340.5255,2019-03-03,13:23,Credit card,7.4,Yangon
123191176,A,Normal,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:30,Ewallet,8.4,Yangon
373737910,A,Normal,Male,Sports and travel,86.31,7,30.208500000000004,634.3785,2019-02-08,10:37,Ewallet,5.3,Yangon
699143026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30,Ewallet,4.1,Naypyitaw
355535943,A,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,Ewallet,5.8,Yangon
315225665,C,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,8.0,Naypyitaw
665329167,A,Normal,Male,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15,Credit card,7.2,Yangon
692925582,B,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27,Credit card,5.9,Mandalay
351620822,B,Normal,Male,Fashion accessories,14.48,4,2.8960000000000004,60.816,2019-02-06,18:07,Ewallet,4.5,Mandalay
529563974,B,Normal,Male,Electronic accessories,25.51,4,5.102,107.14200000000001,2019-03-09,17:03,Cash,6.8,Mandalay
365640515,A,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,Ewallet,7.1,Yangon
252562699,A,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,Ewallet,8.2,Yangon
829343910,A,Normal,Male,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,5.7,Yangon
299461805,B,Normal,Male,Sports and travel,93.72,6,28.116,590.4359999999999,2019-01-15,16:19,Cash,4.5,Mandalay
656959349,A,Normal,Male,Health and beauty,68.93,7,24.125500000000002,506.63550000000004,2019-03-11,11:03,Credit card,4.6,Yangon
765266951,A,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,6.9,Yangon
329621586,A,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,8.6,Yangon
319503348,B,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,4.4,Mandalay
300714605,C,Normal,Male,Electronic accessories,86.04,5,21.510000000000005,451.71000000000004,2019-02-25,11:24,Ewallet,4.8,Naypyitaw
371855789,B,Normal,Male,Health and beauty,87.98,3,13.197000000000001,277.137,2019-03-05,10:40,Ewallet,5.1,Mandalay
273166619,B,Normal,Male,Home and lifestyle,33.2,2,3.3200000000000003,69.72,2019-03-15,12:20,Credit card,4.4,Mandalay
