id,make,model,year,VClass,drive,trans,fuelType,cylinders,displ,city,UCity,highway,UHighway,co2,feScore,ghgScore,efficiency_value,pv_value
32204,Nissan,GT-R,2013-01-01,Subcompact Cars,All-Wheel Drive,Automatic (AM6),Premium Gasoline,6,3.8,16.4596,20.2988,22.5568,30.1798,471,4,4,pv2,79
32205,Volkswagen,CC,2013-01-01,Compact Cars,Front-Wheel Drive,Automatic (AM-S6),Premium Gasoline,4,2.0,21.8706,26.977,31.0367,42.4936,349,6,6,pv2,94
32206,Volkswagen,CC,2013-01-01,Compact Cars,Front-Wheel Drive,Automatic (S6),Premium Gasoline,6,3.6,17.4935,21.2,26.5716,35.1,429,5,5,pv2,94
32207,Volkswagen,CC 4motion,2013-01-01,Compact Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,6,3.6,16.9415,20.5,25.219,33.5,446,5,5,pv2,94
32208,Chevrolet,Malibu eAssist,2013-01-01,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,2.4,24.7726,31.9796,35.534,51.8816,310,8,8,pv2,0
32209,Lexus,GS 350,2013-01-01,Midsize Cars,Rear-Wheel Drive,Automatic (S6),Premium Gasoline,6,3.5,19.4325,24.1499,28.2234,38.5,393,6,6,pv2,0
32210,Lexus,GS 350 AWD,2013-01-01,Midsize Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,6,3.5,18.5752,23.5261,26.3573,36.2109,412,5,5,pv2,0
32214,Hyundai,Genesis Coupe,2013-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic 8-spd,Premium Gasoline,4,2.0,17.445999999999998,21.7946,26.6295,37.6731,432,5,5,pv2,89
32215,Hyundai,Genesis Coupe,2013-01-01,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,20.6741,26.2,29.2741,41.8,375,6,6,pv2,89
32216,Hyundai,Genesis Coupe,2013-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic 8-spd,Premium Gasoline,6,3.8,16.4675,20.4839,24.5605,34.4972,461,4,4,pv2,89
32217,Hyundai,Genesis Coupe,2013-01-01,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.8,18.1909,22.8,26.7761,37.9,420,5,5,pv2,89
32218,Volkswagen,CC,2013-01-01,Compact Cars,Front-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,20.8232,25.7303,31.7255,43.9687,360,6,6,pv2,94
32219,Lincoln,MKS AWD,2013-01-01,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.7,18.0431,22.6,25.9987,36.7,424,5,5,pv2,0
32220,Lincoln,MKS AWD,2013-01-01,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,17.1523,21.4,25.0,35.6,446,5,5,pv2,0
32221,Lincoln,MKS FWD,2013-01-01,Large Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.7,17.9906,22.529,26.5429,37.5393,422,5,5,pv2,0
32231,Mazda,6,2013-01-01,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.7,17.7357,21.7,26.6826,34.6,463,5,5,pv2,0
32232,Ford,Taurus AWD,2013-01-01,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,18.117,22.7,25.5432,36.0,426,5,5,pv2,0
32233,Ford,Taurus AWD,2013-01-01,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,17.1523,21.4,25.0,35.6,446,5,5,pv2,0
32234,Ford,Taurus AWD FFV,2013-01-01,Large Cars,All-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,18.117,22.7,25.5432,36.0,426,5,5,pv2,0
32235,Ford,Taurus FWD,2013-01-01,Large Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,19.3144,24.329,28.1465,40.0311,395,6,6,pv2,0
32244,Ford,Mustang,2013-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic 6-spd,Regular Gasoline,6,3.7,19.2053,24.1798,30.4395,43.6431,386,6,6,pv2,83
32245,Ford,Mustang,2013-01-01,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Regular Gasoline,6,3.7,18.5595,23.3,28.574,40.7,403,5,5,pv2,83
32246,Ford,Mustang,2013-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic 6-spd,Regular Gasoline,8,5.0,17.5859,21.9829,24.9515,35.0939,438,5,5,pv2,83
32247,Ford,Mustang,2013-01-01,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Regular Gasoline,8,5.0,15.5004,19.1995,25.2823,35.6,473,4,4,pv2,83
32248,Ford,Mustang Convertible,2013-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic 6-spd,Regular Gasoline,6,3.7,19.2257,24.2077,29.0745,41.4859,392,6,6,pv2,81
32249,Kia,Rio,2013-01-01,Compact Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,1.6,28.0,38.7,36.0,56.5,291,8,8,pv2,0
32250,Kia,Rio,2013-01-01,Compact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.6,29.0,39.5,37.0,56.8,283,8,8,pv2,0
32251,Kia,Rio Eco,2013-01-01,Compact Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,1.6,30.0,40.7278,36.0,56.955,279,8,8,pv2,0
32252,Hyundai,Elantra,2013-01-01,Midsize Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,1.8,28.0,37.8169,38.0,56.5,284,8,8,pv2,0
32253,Hyundai,Elantra,2013-01-01,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.8,28.0,38.2,38.0,56.5,284,8,8,pv2,0
32254,Hyundai,Elantra Blue,2013-01-01,Midsize Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,1.8,28.0,38.6483,38.0,57.0799,285,8,8,pv2,0
32255,Hyundai,Elantra Coupe,2013-01-01,Midsize Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,1.8,27.0,35.9599,37.0,55.6829,294,8,8,pv2,95
32256,Hyundai,Elantra Coupe,2013-01-01,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.8,28.0,38.0,38.0,56.6,285,8,8,pv2,95
32257,Mazda,6,2013-01-01,Midsize Cars,Front-Wheel Drive,Automatic (S5),Regular Gasoline,4,2.5,21.3496,27.1379,29.727,42.5144,363,6,6,pv2,0
32258,Mazda,6,2013-01-01,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,2.5,21.1786,26.9,29.6545,42.4,367,6,6,pv2,0
32259,Ford,Taurus FWD FFV,2013-01-01,Large Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,6,3.5,19.3144,24.329,28.1465,40.0311,396,6,6,pv2,0
32260,Porsche,Panamera GTS,2013-01-01,Large Cars,All-Wheel Drive,Automatic 7-spd,Premium Gasoline,8,4.8,15.8782,19.7,23.3764,32.7,478,4,4,pv2,0
32308,Scion,FR-S,2013-01-01,Minicompact Cars,Rear-Wheel Drive,Automatic (S6),Premium Gasoline,4,2.0,24.4382,31.5,32.9333,47.6385,320,7,7,pv2,77
32309,Scion,FR-S,2013-01-01,Minicompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,21.5146,27.3679,29.723000000000003,42.5082,361,6,6,pv2,77
32310,Subaru,BRZ,2013-01-01,Minicompact Cars,Rear-Wheel Drive,Automatic (S6),Premium Gasoline,4,2.0,24.4382,31.5,32.7237,47.3,321,7,7,pv2,77
32311,Subaru,BRZ,2013-01-01,Minicompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,21.4659,27.3,29.2106,41.7,363,6,6,pv2,77
32312,Porsche,Panamera 4S,2013-01-01,Large Cars,All-Wheel Drive,Automatic 7-spd,Premium Gasoline,8,4.8,16.2544,20.2,23.7068,33.2,468,4,4,pv2,0
32313,Porsche,Panamera S,2013-01-01,Large Cars,Rear-Wheel Drive,Automatic 7-spd,Premium Gasoline,8,4.8,16.2544,20.2,23.7068,33.2,468,4,4,pv2,0
32339,Lexus,GS 450h,2013-01-01,Midsize Cars,Rear-Wheel Drive,Automatic (AV-S6),Premium Gasoline,6,3.5,29.3141,39.661,34.1668,44.2662,283,8,8,pv2,0
32340,Hyundai,Sonata,2013-01-01,Large Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,2.0,22.2521,28.4,32.8476,47.5,342,7,7,pv2,0
32341,Hyundai,Sonata,2013-01-01,Large Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,2.4,23.554,30.2388,33.7731,49.0,327,7,7,pv2,0
32342,Hyundai,Sonata,2013-01-01,Large Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,2.4,23.5267,30.2,33.7116,48.9,328,7,7,pv2,0
32359,Bentley,Continental GTC,2013-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,8,4.0,14.0639,17.4,23.9773,30.8,517,4,4,pv2,86
